会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
アークシステムワークス株式会社,https://www.arcsystemworks.jp,木戸岡稔,神奈川県,横浜市港北区,225,10000,1988,5,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社マイネット,https://www.mynet.co.jp,上原仁,東京都,港区,241,4963,2006,7,スタンダード（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社ユークス,https://www.yukes.co.jp,谷口行規,大阪府,堺市堺区,219,41290,1993,2,スタンダード（内国株式）,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社インテリジェントシステムズ,https://www.intsys.co.jp,中村俊之,京都府,京都市南区,220,2930,1986,12,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
ポノス株式会社,https://www.ponos.jp,辻子依旦,京都府,京都市下京区,217,1530,1990,12,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,ゲーム開発,,,,,,,,,,,,,,,,,,,
株式会社サイバード,http://www.cybird.co.jp,本島匡,東京都,品川区,210,10000,1998,9,未上場,BtoC,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社デジタルワークスエンタテインメント,https://www.dworks-ent.com,樋口義男,東京都,渋谷区,201,2200,2001,2,未上場,"BtoB,BtoC",ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
アイレムソフトウェアエンジニアリング株式会社,https://www.irem.co.jp,小野正貴,石川県,白山市,194,3000,1997,4,未上場,BtoB,ゲーム,ゲーム開発,CM制作・映像制作,,,,,,,,,,,,,,,,,,,
株式会社ハル研究所,http://www.hallab.co.jp,川瀬滋史,東京都,千代田区,217,8000,1980,2,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社スタイラジー,https://www.stylagy.co.jp,高梨浩二,東京都,新宿区,185,2710,2006,9,未上場,"BtoC,BtoB",ゲーム,ソーシャルゲーム・SNS,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ジーン,http://www.xeen.co.jp,塩見一夫,大阪府,大阪市淀川区,231,1000,2006,7,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,デザイン,,,,,,,,,,,,,,,,,,
株式会社トライエース,https://www.tri-ace.co.jp,五反田義治,東京都,港区,178,5000,1995,3,未上場,"BtoC,BtoB",ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社東京美術,https://www.tokyo-bijutsu.co.jp,鎌田章裕,東京都,豊島区,177,3500,1960,3,未上場,BtoB,ゲーム,デザイン,ゲーム・アニメデザイン,ゲーム・アニメデザイン,,,,,,,,,,,,,,,,,,
株式会社サミーネットワークス,https://www.sammy-net.jp,德村憲一,東京都,品川区,177,10000,2000,3,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,ゲーム・アニメデザイン,ゲーム・アニメデザイン,,,,,,,,,,,,,,,,,,
サイバーステップ株式会社,https://corp.cyberstep.com,佐藤類,東京都,杉並区,176,407500,2000,4,スタンダード（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,ゲーム開発,,,,,,,,,,,,,,,,,,,
株式会社リンクトブレイン,https://linkedbrain.jp,清水弘一,東京都,文京区,175,4600,2011,10,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社ナノコネクト,https://www.nanoconnect.co.jp,木島貴志,兵庫県,神戸市中央区,173,10000,2006,3,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社CRI・ミドルウェア,https://www.cri-mw.co.jp,押見正雄,東京都,渋谷区,166,78490,2001,8,グロース（内国株式）,BtoB,ゲーム,ゲーム開発,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ブロッコリー,https://www.broccoli.co.jp,鈴木恵喜,東京都,練馬区,170,236128,1994,3,未上場,BtoC,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社コーエーテクモホールディングス,https://www.koeitecmo.co.jp,襟川陽一,神奈川県,横浜市港北区,176,1500000,2009,4,プライム（内国株式）,BtoC,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,アミューズメント機器,,,,,,,,,,,,,,,,,,
アイディアファクトリー株式会社,https://www.ideaf.co.jp,佐藤嘉晃,東京都,豊島区,165,9400,1994,10,未上場,BtoC,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社テクロス,https://techcross.co.jp,辻拓也,東京都,千代田区,165,1000,2009,1,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
アイアンドエルソフトウェア株式会社,https://www.iandl.co.jp,吉岡朗,東京都,新宿区,162,4000,1989,10,未上場,BtoB,ゲーム,ゲーム開発,企業研修,ソフトウェア商社,,,,,,,,,,,,,,,,,,
株式会社インフィニットループ,https://www.infiniteloop.co.jp,松井健太郎,北海道,札幌市中央区,160,1000,2007,6,未上場,"BtoB,BtoC",ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
