会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
玉川電器株式会社,https://www.td-pla.jp,宮越弘修,神奈川県,横浜市保土ケ谷区,286,8500,1949,12,未上場,BtoB,化学,半導体,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,
株式会社アイケープラスト,https://www.ikplast.co.jp,生駒哲也,福井県,敦賀市,260,2000,2005,4,未上場,BtoB,化学,プラスチック包装製造,,,,,,,,,,,,,,,,,,,,
日信化学工業株式会社,http://www.nissin-chem.co.jp,宮澤繕行,福井県,越前市,256,50000,1955,3,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
丸西産業株式会社,http://taspass.com,山下大輔,長野県,飯田市,260,3000,1947,11,未上場,BtoB,化学,肥料・農薬製造,農産物食品商社,,,,,,,,,,,,,,,,,,,
エネックス株式会社,https://www.enex.co.jp,梅田礼二,福井県,福井市,235,9800,1972,2,未上場,BtoB,化学,塗料製造,,,,,,,,,,,,,,,,,,,,
有限会社ヨネヤマプランテイション,https://www.yoneyama-pt.co.jp,米山由男,神奈川県,横浜市港北区,240,2000,1970,10,未上場,"BtoB,BtoC",化学,肥料・農薬製造,動物・ペット,動物・ペット,,,,,,,,,,,,,,,,,,
セプラ株式会社,http://www.sepla.jp,横井祐二,富山県,富山市,229,5000,1996,3,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社ポラテクノ,https://www.polatechno.co.jp,狩野浩和,新潟県,上越市,242,10000,1991,7,未上場,BtoB,化学,塗料製造,,,,,,,,,,,,,,,,,,,,
太陽油脂株式会社,https://taiyo-yushi.co.jp,中山悟,神奈川県,横浜市神奈川区,230,10000,1985,6,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
三協精密株式会社,https://www.sankyoseimitsu.co.jp,上條充繁,長野県,安曇野市,233,5000,1969,6,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
