会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社NTTデータ北陸,https://www.nttdata-hokuriku.co.jp,髙橋将樹,石川県,金沢市,181,10000,1991,1,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
福井コンピュータ株式会社,https://hd.fukuicompu.co.jp,杉田直,福井県,坂井市,180,1000,2012,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社電翔,https://www.densho-gp.co.jp,森裕芳,静岡県,静岡市葵区,177,7000,1985,2,未上場,BtoB,IT,システム開発,経営コンサル,,,,,,,,,,,,,,,,,,,
株式会社コンピュータマインド,https://www.compmind.co.jp,加藤吉一,山梨県,甲府市,178,2015,1991,8,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社ケイケンシステム,https://keiken.co.jp,青柳和男,長野県,長野市,170,9900,1974,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
デビフペット株式会社,https://www.dbfpet.co.jp,川井義博,新潟県,新潟市西区,157,8000,1981,11,未上場,"BtoB,BtoC",IT,動物・ペット,動物・ペット,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
ブライトスタッフ株式会社,https://hida-job.com,田中晶洋,岐阜県,高山市,159,1100,2001,9,未上場,BtoB,IT,製造・技術人材派遣,Webアプリ・サービス運営,人材紹介,,,,,,,,,,,,,,,,,,
株式会社Newデイシス,https://www.newdaysys.co.jp,小島正浩,静岡県,静岡市葵区,167,1000,2007,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
ソリマチ株式会社,https://www.sorimachi.co.jp,反町秀樹,新潟県,長岡市,155,4950,1972,10,未上場,"BtoC,BtoB",IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社ドゥシステム,https://www.dosystem.co.jp,成島優,静岡県,三島市,166,3000,1989,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
