会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
山口北州印刷株式会社,https://www.hokushu.com,高浜弘,岩手県,盛岡市,76,6350,1972,12,未上場,"BtoB,BtoC",マスコミ,紙媒体印刷,書籍出版,,,,,,,,,,,,,,,,,,,
土浦ケーブルテレビ株式会社,https://group-companies.jcom.co.jp,富田裕一,茨城県,土浦市,50,150000,1983,8,未上場,BtoC,マスコミ,放送局,,,,,,,,,,,,,,,,,,,,
株式会社イメージランド,http://www.image-land.co.jp,萬谷亨,北海道,札幌市中央区,54,3000,1989,4,未上場,BtoB,マスコミ,テレビ番組,CM制作・映像制作,,,,,,,,,,,,,,,,,,,
株式会社エムジー・コーポレーション,https://www.mgc-p.com,後藤章仁,北海道,札幌市豊平区,50,9500,1977,4,未上場,"BtoB,BtoC",マスコミ,書籍出版,,,,,,,,,,,,,,,,,,,,
株式会社函館新聞社,https://digital.hakoshin.jp,小笠原金哉,北海道,函館市,49,10000,1995,11,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社ホワイトカンパニー,http://white-co.jp,小玉享幸,北海道,札幌市中央区,46,1000,2003,10,未上場,"BtoC,BtoB",マスコミ,広告運用コンサル,書籍出版,,,,,,,,,,,,,,,,,,,
宇都宮ケーブルテレビ株式会社,https://www.ucatv.co.jp,大久保登志正,栃木県,宇都宮市,46,40000,1988,11,未上場,BtoC,マスコミ,テレビ番組,携帯・通信回線販売代理店,携帯・通信回線販売代理店,,,,,,,,,,,,,,,,,,
株式会社伝書鳩,http://denshobato.com,藤澤達夫,北海道,北見市,48,2000,1983,5,未上場,"BtoC,BtoB",マスコミ,書籍出版,Web制作,マンション賃貸,,,,,,,,,,,,,,,,,,
株式会社アール・エー・ビー企画,http://www.rabkikaku.co.jp,鷲尾正人,青森県,青森市,45,1000,1998,6,未上場,BtoB,マスコミ,テレビ番組,マルチメディア・楽器,保険代理店,,,,,,,,,,,,,,,,,,
株式会社毎日新聞首都圏センター,http://mainichisc.jp,渡邊雅春,埼玉県,川口市,54,7000,1999,1,未上場,BtoB,マスコミ,新聞,紙媒体印刷,,,,,,,,,,,,,,,,,,,
株式会社ライナーネットワーク,https://biz.liner.jp,安井拓人,北海道,旭川市,45,1000,1984,6,未上場,BtoB,マスコミ,書籍出版,Web制作,デザイン,,,,,,,,,,,,,,,,,,
株式会社桐生タイムス社,http://kiryutimes.co.jp,木村洋一,群馬県,桐生市,45,1300,1945,12,未上場,BtoC,マスコミ,新聞,雑誌出版,,,,,,,,,,,,,,,,,,,
株式会社ラジオ福島,http://www.rfc.jp,半野秀一,福島県,福島市,45,10000,1953,9,未上場,"BtoB,BtoC",マスコミ,放送局,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
