会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
常陽コンピューターサービス株式会社,https://www.joyonet.jp,大山敬次,茨城県,水戸市,127,4750,1973,4,未上場,BtoB,IT,ソフトウェア商社,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,
株式会社DGフィーリスト,https://feelist.co.jp,吉野俊文,北海道,札幌市中央区,126,1000,2015,8,未上場,BtoB,IT,システム開発,ゲーム開発,Web制作,,,,,,,,,,,,,,,,,
大栄システム株式会社,https://www.daiei-sys.co.jp,畠山博之,茨城県,鹿嶋市,124,1000,1991,12,未上場,BtoB,IT,システム開発,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
株式会社仙台放送,http://www.ox-tv.co.jp,稲木甲二,宮城県,仙台市青葉区,124,20000,1961,10,未上場,"BtoC,BtoB",IT,放送局,Webアプリ・サービス運営,eコマース,,,,,,,,,,,,,,,,,
株式会社アプリシエイト,https://www.all-appreciate.com,和田幸哉,茨城県,水戸市,100,10000,2011,3,未上場,BtoB,IT,システム開発,Webアプリ・サービス運営,Web制作,,,,,,,,,,,,,,,,,
株式会社ネクシス,https://www.nexis.co.jp,藤原純,北海道,札幌市中央区,120,3500,1968,7,未上場,BtoB,IT,システム開発,クラウド系・Fintech,Web制作,,,,,,,,,,,,,,,,,
株式会社アイビーシー・ソフトアルファ,https://www.ibcsoft.ne.jp,成島信夫,岩手県,盛岡市,117,5000,1991,7,未上場,BtoB,IT,ITインフラストラクチャー,製造・技術人材派遣,Web制作,,,,,,,,,,,,,,,,,
オビサン株式会社,http://www.obisan.co.jp,小嶋寛之,山形県,山形市,118,3670,1941,12,未上場,BtoB,IT,システム開発,紙・パルプ商社,家具販売,,,,,,,,,,,,,,,,,
株式会社ハイソフテック,https://www.hisoftec.co.jp,藤咲雅司,茨城県,ひたちなか市,117,1500,1989,1,未上場,BtoB,IT,Webアプリ・サービス運営,Web制作,ゲーム・アニメデザイン,,,,,,,,,,,,,,,,,
株式会社テクノラボ,https://www.techno-labo.co.jp,石井茂喜,北海道,札幌市厚別区,114,15000,1993,9,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社中央ネームプレート製作所,http://www.cnpnet.co.jp,氏家利道,北海道,札幌市東区,113,4800,1964,6,未上場,"BtoB,BtoC",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社テクノコム,https://www.technocom-net.jp,大江修,宮城県,仙台市若林区,112,5000,2016,4,未上場,BtoB,IT,製造・技術人材派遣,ITインフラストラクチャー,建設・土木設計,,,,,,,,,,,,,,,,,
関東ホーチキ株式会社,http://www.k-hochiki.net,久保塚洋一,群馬県,高崎市,94,5000,1983,12,未上場,BtoB,IT,防犯機器,,,,,,,,,,,,,,,,,,,
株式会社渡敬,https://www.watakei.co.jp,渡部尚男,秋田県,横手市,110,2000,1968,10,未上場,BtoB,IT,ソフトウェア商社,事業用リフォーム,インテリア系デザイン,,,,,,,,,,,,,,,,,
株式会社シーアンドエーソリューション,http://canda.co.jp,小林英雄,茨城県,ひたちなか市,110,4000,2001,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社サンコー,http://www.sancoh.co.jp,佐藤幸治,北海道,札幌市清田区,109,4800,1950,6,未上場,BtoB,IT,ITインフラストラクチャー,Web制作,製造・技術人材派遣,,,,,,,,,,,,,,,,,
株式会社エヌエスシー,https://www.nsc-inc.co.jp,髙谷奈津夫,宮城県,仙台市青葉区,109,9350,1997,9,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
新光商事エルエスアイデザインセンター株式会社,https://www.sld-shinko.co.jp,秋谷和広,北海道,札幌市北区,109,8000,1997,11,未上場,BtoB,IT,ソフトウェア商社,電子部品,コスト削減コンサル,,,,,,,,,,,,,,,,,
株式会社リードコナン,https://www.leadkonan.co.jp,伊東正文,岩手県,盛岡市,93,1000,1989,1,未上場,"BtoC,BtoB",IT,ITインフラストラクチャー,Web制作,紙媒体印刷,,,,,,,,,,,,,,,,,
株式会社iD,http://www.intelligent-design.co.jp,小竹陽一朗,北海道,函館市,108,9000,2005,2,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,電子部品,,,,,,,,,,,,,,,,,
株式会社シーズ・ラボ,https://www.cslab.co.jp,市川茂,北海道,札幌市中央区,101,7898,1991,2,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
電制コムテック株式会社,http://www.dencom.co.jp,田上寛,北海道,江別市,107,4900,1977,9,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社SRA東北,https://www.sra-tohoku.co.jp,阿部嘉男,宮城県,仙台市青葉区,97,5500,1986,12,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,
藤田ソリューションパートナーズ株式会社,http://www.fujita-sp.co.jp,藤田実,群馬県,高崎市,107,9000,1982,10,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社シムネット,https://www.simnet.co.jp,田中理,宮城県,仙台市宮城野区,105,10000,2001,3,未上場,BtoC,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社フォレステック,https://www.forestec.co.jp,林周,北海道,札幌市中央区,104,-,2000,5,未上場,BtoB,IT,ITインフラストラクチャー,電子部品,情報セキュリティ,,,,,,,,,,,,,,,,,
東邦情報システム株式会社,http://www.tohojoho.jp,古宮智宏,福島県,福島市,104,6000,1983,10,未上場,BtoB,IT,事務処理代行,コールセンター,,,,,,,,,,,,,,,,,,
株式会社フォートレス,http://www.fortress-c.com,杉雄一郎,群馬県,伊勢崎市,102,1000,2010,6,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
青森レコードマネジメントサービス株式会社,https://www.armsinc.co.jp,竹場公,青森県,六ヶ所村,101,2000,1998,10,未上場,BtoB,IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
アディッシュプラス株式会社,https://www.adishplus.co.jp,石川琢磨,茨城県,鹿嶋市,105,-,2012,6,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社NCE,http://www.nce.co.jp,本田敏雄,福島県,郡山市,99,1000,2005,12,未上場,BtoB,IT,システム開発,ソフトウェア商社,,,,,,,,,,,,,,,,,,
株式会社コスダック,http://www.cosdac.co.jp,神弘一,茨城県,ひたちなか市,98,1000,2001,4,未上場,BtoB,IT,ITインフラストラクチャー,Web制作,,,,,,,,,,,,,,,,,,
株式会社アイネックス,https://www.inecx.co.jp,鎌田良勝,秋田県,秋田市,98,6000,1979,7,未上場,BtoB,IT,PC販売・修理,パソコン・スマホ機器販売,資格取得,,,,,,,,,,,,,,,,,
株式会社ヴァックスラボ,https://www.vacslab.co.jp,土橋直博,北海道,札幌市中央区,97,5000,1994,6,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,
常磐システムエンジニアリング株式会社,https://www.tokiwa-sys.co.jp,福田岳,茨城県,土浦市,96,6000,1981,2,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社エス・エス・ビー,https://www.sanshiro-net.co.jp,大城英夫,茨城県,つくば市,94,9800,1977,6,未上場,BtoB,IT,医療機器,システム開発,,,,,,,,,,,,,,,,,,
データコム株式会社,https://www.datacom.jp,小野寺修一,宮城県,仙台市青葉区,92,6730,1994,4,未上場,BtoB,IT,システム開発,企業研修,,,,,,,,,,,,,,,,,,
株式会社アドウイック,https://www.adwic.co.jp,竹山茂樹,北海道,札幌市中央区,92,6000,1970,7,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社ソフトガーデン,http://soft-garden.co.jp,加藤彰,北海道,札幌市中央区,92,5000,2001,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社北央情報サービス,http://www.hokuoh-js.co.jp,菅原武美,北海道,札幌市中央区,91,1500,1987,6,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,
GMOデジタルラボ株式会社,https://digitallab.jp,山田裕一,北海道,札幌市中央区,90,3455,1993,12,未上場,BtoB,IT,Webアプリ・サービス運営,オフィス用品,,,,,,,,,,,,,,,,,,
インフォテクノ株式会社,https://www.infot.co.jp,茂泉賢一,北海道,札幌市中央区,90,8000,1981,11,未上場,"BtoC,BtoB",IT,システム開発,児童保育,,,,,,,,,,,,,,,,,,
株式会社シースリー,https://www.c3w.co.jp,大谷俊幸,茨城県,日立市,90,2050,1997,5,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社管理システム,http://www.kksnet.co.jp,今野修,山形県,酒田市,88,5530,,,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社コンピューター総合研究所,https://www.tokyo-cal.co.jp,根本龍男,茨城県,水戸市,89,4000,1986,12,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社ニア,https://www.near-sendai.com,木皿譲司,宮城県,仙台市青葉区,87,3000,2007,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社アイ・シー・シーコンピューターシステム,http://www.webicc.co.jp,南雄二郎,青森県,青森市,86,7000,1987,5,未上場,BtoB,IT,ソフトウェア商社,ITインフラストラクチャー,製造・技術人材派遣,,,,,,,,,,,,,,,,,
陸奥テックコンサルタント株式会社,http://www.mutsu-s.co.jp,伊藤清郷,福島県,郡山市,85,3000,1960,6,未上場,BtoB,IT,土木コンサル,,,,,,,,,,,,,,,,,,,
株式会社北海道キューブシステム,https://www.h-cube.co.jp,早瀬浩昭,北海道,札幌市中央区,85,5300,1990,12,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
