会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社ゼットリンク,https://www.z-link.co.jp,有馬芳臣,東京都,千代田区,4,2000,2006,8,未上場,BtoB,IT,ITインフラストラクチャー,製造・技術人材派遣,,,,,,,,,,,,,,,,,,
ジーリンクシステムコンサルティング株式会社,https://www.g-link.co.jp,務台哲郎,東京都,千代田区,4,1000,1998,3,未上場,BtoB,IT,システム開発,ソフトウェア商社,ITインフラストラクチャー,,,,,,,,,,,,,,,,,
株式会社フェニックステクノロジー,http://www.phx.co.jp,道下浩一,東京都,千代田区,3,1000,1986,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社メディアクラフト,http://www.m-craft.co.jp,浜崎慎児,東京都,千代田区,3,-,1997,4,未上場,BtoB,IT,CM制作・映像制作,デジタル系コンテンツ,テレビ番組,,,,,,,,,,,,,,,,,
株式会社パブリックファンクション,http://public-function.co.jp,塚原祐典,東京都,千代田区,3,100,2014,3,未上場,BtoB,IT,Web制作,デザイン,システム開発,,,,,,,,,,,,,,,,,
株式会社シェークハンズ,https://www.shands.jp,小谷彰彦,東京都,千代田区,3,4500,2013,11,未上場,BtoC,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ヒューメインシステム,http://www.humane-systems.co.jp,鹿又三男,東京都,千代田区,3,1200,1997,3,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社キャリモ,https://rising-dragon.co.jp,佐藤翔,東京都,千代田区,3,-,2021,3,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
有限会社パテントヒンメル,https://www.s-nippo.com,-,東京都,千代田区,3,300,2000,10,未上場,"BtoB,BtoC",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
ネオシード株式会社,http://www.neoceed.co.jp,小牧崇史,東京都,千代田区,3,1000,2000,4,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社DECO,http://www.decoinc.jp,田中匠身,東京都,千代田区,3,1000,2006,9,未上場,BtoB,IT,Webアプリ・サービス運営,Web制作,インターネット広告代理店,,,,,,,,,,,,,,,,,
株式会社コラボラボ,http://colabolabo.co.jp,横田響子,東京都,千代田区,3,1500,2006,5,未上場,BtoB,IT,Webアプリ・サービス運営,人材紹介,販促コンサル,,,,,,,,,,,,,,,,,
株式会社システムタンク,http://www.system-tank.com,安田浩也,東京都,千代田区,3,1000,1994,11,未上場,BtoB,IT,Web制作,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社翔洋,http://www.sho-yo.co.jp,鈴木伸治,東京都,千代田区,3,1000,1986,9,未上場,BtoB,IT,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,
株式会社トスタック,http://www.open-j.net,冨永謙二,東京都,千代田区,3,-,2005,5,未上場,BtoB,IT,Webアプリ・サービス運営,デザイン,,,,,,,,,,,,,,,,,,
株式会社数理先端技術研究所,http://www.symbiotic.jp,生島高裕,東京都,千代田区,3,1500,2007,5,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社アイネットシステム,http://www.inetsystem.jp,井坂敦,東京都,千代田区,3,1000,2009,12,未上場,BtoB,IT,通信設備工事,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
アサップネットワーク株式会社,http://www.asapnet.co.jp,西山仁,東京都,千代田区,3,9800,2000,9,未上場,"BtoC,BtoB",IT,デジタル系コンテンツ,,,,,,,,,,,,,,,,,,,
株式会社グラッツ,http://www.glatts.com,渡辺哲,東京都,千代田区,3,-,2003,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ネクストインデックス,https://nextindex.co.jp,平野一真,東京都,千代田区,3,300,2013,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
ハイドアンドシーク株式会社,http://www.hide-and-seek.co.jp,小山嗣信,東京都,千代田区,3,300,2006,1,未上場,"BtoC,BtoB",IT,Web制作,総合系eコマース,ITインフラストラクチャー,,,,,,,,,,,,,,,,,
株式会社リアルタイプ,https://realtype.co.jp,前田剛男,東京都,千代田区,3,1000,2013,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
チームスタジオジャパン株式会社,https://jp.teamstudio.com,MarkDixon,東京都,千代田区,3,1000,2000,1,未上場,BtoB,IT,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
株式会社プレソナ,http://www.presona.co.jp,佐藤浩司,東京都,千代田区,3,2100,2003,10,未上場,BtoC,IT,化粧品販売,Webアプリ・サービス運営,Web制作,,,,,,,,,,,,,,,,,
株式会社アクレス,http://www.acqures.co.jp,張替雅則,東京都,千代田区,3,900,2004,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ユニシード,https://uniseed.co.jp,松下昌弘,東京都,千代田区,3,1000,2007,3,未上場,BtoB,IT,クラウド系・Fintech,システム開発,,,,,,,,,,,,,,,,,,
株式会社ティ・アンド・エム,http://www.tandm.jp,本庄清,東京都,千代田区,3,1900,2003,8,未上場,BtoB,IT,製造・技術人材派遣,鉄鋼・金属商社,,,,,,,,,,,,,,,,,,
有限会社ベストシステム,https://www.e-best-system.co.jp,武中和代,東京都,千代田区,3,300,2002,3,未上場,BtoB,IT,紙媒体印刷,デザイン,,,,,,,,,,,,,,,,,,
アイコミット株式会社,http://icommit.net,井坂敦,東京都,千代田区,3,1000,1983,8,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社renue,https://renue.co.jp,山本悠介,東京都,千代田区,3,1000,2021,3,未上場,BtoB,IT,Webアプリ・サービス運営,広告代理店,,,,,,,,,,,,,,,,,,
株式会社FGI,http://f-gi.jp,西野信夫,東京都,千代田区,3,3000,2017,2,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
ほわの株式会社,http://www.howano.jp,谷小百合,東京都,千代田区,3,100,2009,12,未上場,"BtoB,BtoC",IT,Webアプリ・サービス運営,農産物食品商社,,,,,,,,,,,,,,,,,,
株式会社歯科健診センター,http://www.ee-kenshin.com,飯島威二,東京都,千代田区,3,-,,,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ジーフィー,http://gifi.co.jp,-,東京都,千代田区,3,-,2009,4,未上場,"BtoC,BtoB",IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社メディア・ラウンジ,http://mdlg.jp,鳥居暁,東京都,千代田区,3,990,2008,1,未上場,BtoB,IT,Webアプリ・サービス運営,システム開発,デザイン,,,,,,,,,,,,,,,,,
株式会社サリオンシステムズリサーチ,http://www.sarion.co.jp,山田剛,東京都,千代田区,3,1000,1989,1,未上場,BtoB,IT,システム開発,toCセミナー業界,,,,,,,,,,,,,,,,,,
バリュードライバーズ株式会社,http://www.value-d.co.jp,佐治祐二郎,東京都,千代田区,3,-,2010,9,未上場,BtoB,IT,Webアプリ・サービス運営,経営コンサル,Webマーケコンサル,,,,,,,,,,,,,,,,,
株式会社科学技術研究所,https://www.kagiken.co.jp,柳下瑞穂,東京都,千代田区,3,1000,1998,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社BM Comp,http://www.bmcomp.jp,松田潤一,東京都,千代田区,3,-,2014,10,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社Samurai,https://www.samurai-net.co.jp,須永啓太,東京都,千代田区,3,1394,2010,7,未上場,BtoB,IT,デザイン,システム開発,,,,,,,,,,,,,,,,,,
アイティーディレクト株式会社,https://itdirect.co.jp,佐藤昌弘,東京都,千代田区,3,1805,2009,9,未上場,BtoB,IT,情報セキュリティ,システム開発,Webマーケコンサル,,,,,,,,,,,,,,,,,
株式会社gamba,http://www.getgamba.com,森田昌宏,東京都,千代田区,3,6533,2012,11,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社グッドリーム,http://www.goodream.co.jp,-,東京都,千代田区,3,-,,,未上場,BtoB,IT,Web制作,ソフトウェア商社,,,,,,,,,,,,,,,,,,
株式会社デジタルアシスト,http://www.digital-assist.jp,金子健太郎,東京都,千代田区,3,1000,2001,11,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社BPORTUS,https://www.bportus.co.jp,佐藤洋史,東京都,千代田区,3,90000,2014,12,未上場,BtoC,IT,デジタル系コンテンツ,,,,,,,,,,,,,,,,,,,
TANREN株式会社,http://corp.tanren.jp,佐藤勝彦,東京都,千代田区,3,3576,2014,10,未上場,BtoB,IT,クラウド系・Fintech,システム開発,,,,,,,,,,,,,,,,,,
株式会社トライアード,http://www.tri.ne.jp,永堀雄弘,東京都,千代田区,3,-,2002,1,未上場,BtoB,IT,Web制作,デザイン,,,,,,,,,,,,,,,,,,
株式会社シェアーサイト,http://www.share-site.co.jp,尾関正俊,東京都,千代田区,3,-,1995,4,未上場,BtoB,IT,システム開発,Webアプリ・サービス運営,ソフトウェア商社,,,,,,,,,,,,,,,,,
株式会社サンポウ・ブレイン,http://www.sanpobrain.co.jp,岡田喜一,東京都,千代田区,3,1000,2009,10,未上場,BtoB,IT,Webアプリ・サービス運営,Web制作,ITインフラストラクチャー,,,,,,,,,,,,,,,,,
エムロジック株式会社,https://m-logic.co.jp,田島誠,東京都,千代田区,3,1000,1998,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ピエタスコール,http://www.pietascor.com,長岐和幸,東京都,千代田区,3,100,2007,11,未上場,BtoB,IT,システム開発,企業研修,,,,,,,,,,,,,,,,,,
ストラクチュアルライン株式会社,http://www.sl-inc.co.jp,牧石幸士,東京都,千代田区,3,-,2016,1,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
フジデジタルイメージング株式会社,http://www.fuji-digital.com,柏原武利,東京都,千代田区,3,30000,2003,4,未上場,BtoB,IT,インターネット広告代理店,情報セキュリティ,,,,,,,,,,,,,,,,,,
psycube株式会社,http://www.psycube.com,大和田幸一,東京都,千代田区,3,20,2010,5,未上場,BtoB,IT,システム開発,ソフトウェア商社,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,
株式会社新生ジャパン投資,https://shinseijapan.com,前池英樹,東京都,千代田区,3,-,,,未上場,BtoC,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
有限会社ゴールデンドロップ,https://www.rakuten.co.jp,宇高秀樹,東京都,千代田区,3,800,1998,12,未上場,BtoC,IT,玩具,総合系eコマース,雑貨販売,,,,,,,,,,,,,,,,,
株式会社シェアメディカル,https://www.sharemedical.jp,峯啓真,東京都,千代田区,3,6860,2014,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社プランドゥ,http://www.aphoris.co.jp,鈴木稔,東京都,千代田区,3,900,2006,6,未上場,BtoC,IT,システム開発,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
株式会社明報プロフィックスアソシエイツ,https://www.m-profix.co.jp,山口直樹,東京都,千代田区,3,1500,1994,4,未上場,BtoB,IT,Webマーケコンサル,システム開発,企業研修,,,,,,,,,,,,,,,,,
株式会社セブントラスト,https://www.seventrust.co.jp,黒川明,東京都,千代田区,3,1500,2001,2,未上場,BtoB,IT,Web制作,,,,,,,,,,,,,,,,,,,
株式会社アクティブ,http://active1998.com,槇原一也,東京都,千代田区,3,1000,1998,4,未上場,BtoB,IT,紙媒体印刷,システム開発,デザイン,,,,,,,,,,,,,,,,,
株式会社Five for,http://fivefor.jp,谷川高義,東京都,千代田区,3,5750,2017,4,未上場,"BtoB,BtoC",IT,システム開発,デジタル系コンテンツ,,,,,,,,,,,,,,,,,,
株式会社シーキューブ,http://www.ccube.jp,山内政輝,東京都,千代田区,3,300,2001,5,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社キャラクテージ,http://charactage.com,堀内敏宏,東京都,千代田区,3,-,2011,9,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社アイティーフィット,http://www.itfit.co.jp,小沢広文,東京都,千代田区,3,300,2010,1,未上場,BtoB,IT,ソフトウェア商社,システム開発,,,,,,,,,,,,,,,,,,
株式会社センチュリー・システムズ,http://www.censys.co.jp,濱將雄,東京都,千代田区,3,10000,1981,9,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
大栄無線電機株式会社,http://www.daiei-dmd.co.jp,加勢憲夫,東京都,千代田区,3,3000,1957,10,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社ツー・バイ・ツー,http://www.tbt-net.co.jp,栢森隆,東京都,千代田区,3,-,1985,5,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社ラピニクス,http://www.rapinics.co.jp,牧野高太郎,東京都,千代田区,2,300,2011,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
amaten株式会社,https://amaten.com,松澤一義,東京都,千代田区,2,10000,2007,3,未上場,CtoC,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社KCIE,https://www.kcie.co.jp,久武敬人,東京都,千代田区,2,10000,2021,8,未上場,BtoB,IT,デジタル系コンテンツ,,,,,,,,,,,,,,,,,,,
あじあウェブ株式会社,http://www.asia-now.net,合田千華,東京都,千代田区,2,-,,,未上場,"BtoB,BtoC",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
ジグザ株式会社,http://www.ziggxa.jpn.com,櫛田和洋,東京都,千代田区,2,300,2012,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社トライマックス,http://trimax.jp,泉三紀夫,東京都,千代田区,2,1000,,,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
インス・ラボ株式会社,http://ins-labo.co.jp,堀北猛夫,東京都,千代田区,2,950,2008,5,未上場,BtoB,IT,システム開発,事務処理代行,,,,,,,,,,,,,,,,,,
株式会社ティープラス,http://tplus.sakura.ne.jp,前田昌彦,東京都,千代田区,2,900,2014,5,未上場,BtoC,IT,総合系eコマース,,,,,,,,,,,,,,,,,,,
日本コンプライアンス株式会社,http://www.japan-compliance.com,松岡利光,東京都,千代田区,2,3000,2004,8,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ヴィータス,https://www.vitus.co.jp,野本千穂,東京都,千代田区,2,2000,2014,12,未上場,BtoB,IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
株式会社キャリアシップパートナー,https://career-sp.studio.site,北岡功二,東京都,千代田区,2,100,2023,7,,-,IT,Webアプリ・サービス運営,システム開発,IT系教育,,,,,,,,,,,,,,,,,
カペラ株式会社,http://capella-jp.co.jp,安木博,東京都,千代田区,2,3000,2016,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ワーカービー,http://www.wkb.jp,加藤祐司,東京都,千代田区,2,1000,2003,11,未上場,"BtoC,BtoB",IT,デジタル系コンテンツ,システム開発,,,,,,,,,,,,,,,,,,
株式会社トステック,http://www.tostec.co.jp,太田純司,東京都,千代田区,2,-,1999,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社てんとうむし,https://tentou-mushi.co.jp,伊藤信和,東京都,千代田区,2,600,2015,10,未上場,BtoB,IT,システム開発,デジタル系コンテンツ,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,
有限会社トランジェン,https://www.trangen.jp,山本俊彦,東京都,千代田区,2,500,2004,6,未上場,BtoB,IT,ソフトウェア商社,翻訳・通訳,システム開発,,,,,,,,,,,,,,,,,
株式会社地球健康クラブ,http://www.chikyukc.co.jp,有賀博之,東京都,千代田区,2,2450,2007,10,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ロウテク,http://www.lowtech.co.jp,藤井良知,東京都,千代田区,2,400,2008,5,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
スカイマップ株式会社,http://www.sky-map.co.jp,郭燕玲,東京都,千代田区,2,500,2015,7,未上場,BtoB,IT,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,
スキルエンジン株式会社,https://skillengine.jp,前田直哉,東京都,千代田区,2,-,2008,6,未上場,"BtoC,BtoB",IT,IT系教育,,,,,,,,,,,,,,,,,,,
プットメニュー株式会社,https://putmenu.com,山本望,東京都,千代田区,2,1000,2018,2,未上場,BtoB,IT,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
スケーラブルシステムズ株式会社,https://www.sstc.co.jp,戸室隆彦,東京都,千代田区,2,-,2005,6,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
イージェネラ株式会社,https://japan.egenera.com,-,東京都,千代田区,2,-,2000,3,未上場,BtoB,IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
株式会社日本エルダント,http://www.eldants.co.jp,宮内博健,東京都,千代田区,2,4000,1989,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
セットワークス株式会社,http://www.setworks.co.jp,-,東京都,千代田区,2,1000,1999,4,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社アプストウェブ,https://www.apstoweb.com,西岡靖之,東京都,千代田区,2,300,2000,3,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,
株式会社ガーコ,http://gaako.jp,淵上英敏,東京都,千代田区,2,-,2007,1,未上場,BtoB,IT,CM制作・映像制作,デジタル系コンテンツ,経営コンサル,,,,,,,,,,,,,,,,,
株式会社建築環境ソリューションズ,http://www.ae-sol.co.jp,宮島賢一,東京都,千代田区,2,-,,,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
コア・スタッフテクノロジーズ株式会社,http://www.core-technologies.net,星野剛,東京都,千代田区,2,300,2012,6,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
東京総研株式会社,http://www.tmic.co.jp,元森俊雄,東京都,千代田区,2,7000,1991,4,未上場,BtoB,IT,経営コンサル,システム開発,,,,,,,,,,,,,,,,,,
株式会社ビズテックサービス,http://www.biztec-service.com,山本勝,東京都,千代田区,2,1000,2010,12,未上場,BtoB,IT,Web制作,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社Definer,https://ja.definer.jp,阪本健太郎,東京都,千代田区,2,10000,2021,6,未上場,BtoB,IT,クラウド系・Fintech,システム開発,,,,,,,,,,,,,,,,,,
株式会社フューチャーアシスト,http://f-assist.co.jp,田邊直人,東京都,千代田区,2,800,2008,12,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
有限会社クリエイティブ・ビジョン,http://www.cv-net.co.jp,田中拓也,東京都,千代田区,2,300,1998,5,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
Guest Tek Japan株式会社,https://www.guesttek.com,アーノン・レビー,東京都,千代田区,2,500,2012,5,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社ゴーガ解析コンサルティング,https://www.goga-analysis.co.jp,中村仁也,東京都,千代田区,2,500,2016,7,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社トータルオフィス,http://total-office.co.jp,KUOANDY,東京都,千代田区,2,-,,,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社マン・エイジ,http://www.man-age.co.jp,折戸律夫,東京都,千代田区,2,1000,2000,6,未上場,BtoB,IT,Webアプリ・サービス運営,CM制作・映像制作,Web制作,,,,,,,,,,,,,,,,,
ソフトウェア・エー・ジー株式会社,https://www.softwareag.com,アンソニーシル,東京都,千代田区,2,30000,2000,10,未上場,BtoB,IT,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
株式会社Crilu,https://crilu.co.jp,長山智隆,東京都,千代田区,2,-,2021,1,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
ウェブネクスト株式会社,http://www.webnext.co.jp,佐藤正幸,東京都,千代田区,2,1000,2006,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ドリーセ,http://www.drice.jp,小森純一,東京都,千代田区,2,1000,2003,4,未上場,BtoB,IT,Web制作,toCセミナー業界,,,,,,,,,,,,,,,,,,
株式会社OPENスクエア,https://www.opensquare.co.jp,田中昭造,東京都,千代田区,2,2000,2007,5,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社アシス,https://asyss.jp,-,東京都,千代田区,2,-,2013,4,未上場,BtoB,IT,Web制作,,,,,,,,,,,,,,,,,,,
CHCシステム株式会社,http://chc-s.jp,程敏,東京都,千代田区,2,300,2015,1,未上場,BtoB,IT,製造・技術人材派遣,翻訳・通訳,,,,,,,,,,,,,,,,,,
株式会社モバイルビジネスソリューション,http://www.mbsol.co.jp,大塚マキ子,東京都,千代田区,2,2000,1998,4,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社シーティーソリューション,http://www.ctsolution.co.jp,矢澤正弘,東京都,千代田区,2,-,1948,10,未上場,"BtoC,BtoB",IT,ITインフラストラクチャー,パソコン・スマホ機器販売,,,,,,,,,,,,,,,,,,
株式会社ワンストップ・イノベーション,https://onestop-i.co.jp,大内卓,東京都,千代田区,2,4200,2016,11,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,サービス業人材派遣,,,,,,,,,,,,,,,,,,
マグナスシステムズ株式会社,https://www.magnus-sys.co.jp,田中学,東京都,千代田区,2,1000,2000,9,未上場,BtoB,IT,システム開発,情報セキュリティ,Web制作,,,,,,,,,,,,,,,,,
iNEO株式会社,http://www.i-neo.jp,崔源吉,東京都,千代田区,2,7500,2005,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
ヴェリタス株式会社,http://ms-veritas.co.jp,鈴木正巳,東京都,千代田区,2,1000,1990,5,未上場,BtoB,IT,システム開発,Web制作,,,,,,,,,,,,,,,,,,
株式会社ゼスタス,https://zestus.co.jp,和家智也,東京都,千代田区,2,2720,2006,7,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
日本システムラボラトリ株式会社,http://www.nsl.gr.jp,松村康吉,東京都,千代田区,2,1000,1982,9,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社アクティマインド,http://www.actmind.co.jp,山村浩章,東京都,千代田区,2,1000,1996,1,未上場,BtoB,IT,デジタル系コンテンツ,システム開発,事務処理代行,,,,,,,,,,,,,,,,,
株式会社キュービックス,http://qbix.jp,梶浦琢真,東京都,千代田区,2,1000,2005,4,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
e-マネジメント株式会社,http://www.emanagement.co.jp,山本敦浩,東京都,千代田区,2,8500,2005,11,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,経営コンサル,人材紹介,,,,,,,,,,,,,,,,,
株式会社ウーマンジャパン,https://www.womenjapan.com,越野英一,東京都,千代田区,2,-,2010,10,未上場,BtoC,IT,Webアプリ・サービス運営,美容グッズ販売,,,,,,,,,,,,,,,,,,
株式会社ぴやまる,https://www.piyamaru.com,淺川由輝,東京都,千代田区,2,-,2016,4,未上場,"BtoC,BtoB",IT,デジタル系コンテンツ,Webアプリ・サービス運営,カフェ,,,,,,,,,,,,,,,,,
株式会社サンス,http://www.sense-so.com,川越良一,東京都,千代田区,2,300,2006,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社イノベーションゲート,http://innovation-gate.jp,松原浩幸,東京都,千代田区,2,-,2010,7,未上場,BtoB,IT,システム開発,Web制作,,,,,,,,,,,,,,,,,,
株式会社マスコミ文化協会,http://www.signs-d.ne.jp,-,東京都,千代田区,2,-,1957,2,未上場,BtoB,IT,書籍出版,Webアプリ・サービス運営,雑誌出版,,,,,,,,,,,,,,,,,
株式会社ビビッド・ジャパン,https://www.vivid-japan.co.jp,奥博史,東京都,千代田区,2,1000,2010,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社文珠システム研究所,http://www.monzyu.co.jp,寺島章悟,東京都,千代田区,2,1000,1999,5,未上場,"BtoC,BtoB",IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社Salvation LINK,https://salvationlink.com,岡恵梨香,東京都,千代田区,2,-,2013,5,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,デザイン,,,,,,,,,,,,,,,,,
株式会社ソットヴォーチェ,http://www.sotto-voce.co.jp,岡部摩利夫,東京都,千代田区,2,2995,2014,3,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
ミノー株式会社,https://www.minnow.co.jp,舟川洋次,東京都,千代田区,2,1000,1989,3,未上場,BtoB,IT,システム開発,Web制作,,,,,,,,,,,,,,,,,,
株式会社スマイリーマム,https://www.smiley-mom.com,杉山憲一,東京都,千代田区,2,1150,2005,8,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
ソフト・シアター株式会社,http://www.softtheater.co.jp,辛郷孝,東京都,千代田区,2,5000,1997,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社グラブデザイン,http://www.grab-design.com,梅原卓也,東京都,千代田区,15,1000,2003,2,未上場,BtoB,IT,デジタル系コンテンツ,デザイン,システム開発,,,,,,,,,,,,,,,,,
株式会社ナガツナ,http://nagatsuna.jp,長綱信重,東京都,千代田区,2,-,,,未上場,0,IT,印刷機械,総合系eコマース,電子部品商社,,,,,,,,,,,,,,,,,
株式会社アップスゲート,http://www.apps.co.jp,市川勉,東京都,千代田区,1,-,2010,2,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
ビジネスサポート株式会社,http://www.bu-sp.jp,後藤敦,東京都,千代田区,1,-,2012,12,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
ETモバイルジャパン株式会社,https://www.etmobile.co.jp,何同璽,東京都,千代田区,1,10000,2004,9,未上場,"BtoC,BtoB",IT,国内旅行,Webマーケコンサル,投資,,,,,,,,,,,,,,,,,
モービック株式会社,http://www.mo-bic.jp,広田元徳,東京都,千代田区,1,-,2015,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
有限会社インターノーツ,http://www.internauts.co.jp,-,東京都,千代田区,1,-,,,未上場,BtoB,IT,デジタル系コンテンツ,Web制作,イベント,,,,,,,,,,,,,,,,,
株式会社コノル,http://conol.co.jp,溝田隆明,東京都,千代田区,1,3865,2010,5,未上場,BtoB,IT,Webアプリ・サービス運営,ITインフラストラクチャー,デザイン,,,,,,,,,,,,,,,,,
株式会社ニュース・サービス・センター,http://news-service.jp,木村健人,東京都,千代田区,1,1000,1970,4,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社Crコンシェルジュ,http://www.cr-concierge.co.jp,山上尚靖,東京都,千代田区,1,100,2009,7,未上場,BtoB,IT,経営コンサル,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社プライムオン,http://primeon.co.jp,四柳照義,東京都,千代田区,1,1000,2004,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
